percent,MSI_ref,AS7343,group,species
8,0.0020129999611526,0.0491662680095429,dinoflagellate,t. tetrahele
10,0.0217400006949901,0.0551455055840945,dinoflagellate,t. tetrahele
12,0.0131609998643398,0.0650255444576222,dinoflagellate,t. tetrahele
14,0.0387279987335205,0.0685233556775692,dinoflagellate,t. tetrahele
16,0.0394780002534389,0.0670630653513611,dinoflagellate,t. tetrahele
18,0.0282579995691776,0.0993328982529816,dinoflagellate,t. tetrahele
20,0.056768998503685,0.0947706984374524,dinoflagellate,t. tetrahele
25,0.0538889989256858,0.1441116637977848,dinoflagellate,t. tetrahele
30,0.0465839989483356,0.1699099488508354,dinoflagellate,t. tetrahele
35,0.0709099993109703,0.1780478013508207,dinoflagellate,t. tetrahele
40,0.0856619998812675,0.2194520680928327,dinoflagellate,t. tetrahele
45,0.0767370015382766,0.2512967067002292,dinoflagellate,t. tetrahele
50,0.094040997326374,0.2552519655521494,dinoflagellate,t. tetrahele
60,0.1104540005326271,0.2986116541880741,dinoflagellate,t. tetrahele
70,0.1244110018014907,0.3455348721508748,dinoflagellate,t. tetrahele
80,0.1346209943294525,0.3562829273405576,dinoflagellate,t. tetrahele
90,0.156260997056961,0.446843553841329,dinoflagellate,t. tetrahele
100,0.1677439957857132,0.5061432961226208,dinoflagellate,t. tetrahele
0,0.0,0.0,dinoflagellate,pavlova
2,-0.0001740000006975,0.0082619136120628,dinoflagellate,pavlova
4,0.0069929999299347,0.0133059209224288,dinoflagellate,pavlova
6,0.007677000015974,0.0446394884290575,dinoflagellate,pavlova
8,0.0109919998794794,0.0509072497719678,dinoflagellate,pavlova
10,0.0116170002147555,0.0560226880650463,dinoflagellate,pavlova
12,0.0147200003266334,0.0447376318821503,dinoflagellate,pavlova
14,0.0169730000197887,0.0659483691211065,dinoflagellate,pavlova
16,0.0172770004719495,0.0729739431691709,dinoflagellate,pavlova
18,0.02080599963665,0.0957623460245735,dinoflagellate,pavlova
20,0.0227509997785091,0.0915879787862129,dinoflagellate,pavlova
25,0.0325619988143444,0.0913994272896694,dinoflagellate,pavlova
30,0.029466999694705,0.1233908714983223,dinoflagellate,pavlova
35,0.0425509996712207,0.1028105898278762,dinoflagellate,pavlova
40,0.0541189983487129,0.1524419099859423,dinoflagellate,pavlova
45,0.0643630027770996,0.1610046086735347,dinoflagellate,pavlova
50,0.0586830005049705,0.1751238835792976,dinoflagellate,pavlova
60,0.0732859969139099,0.2166379865761465,dinoflagellate,pavlova
70,0.08958700299263,0.2237342245619552,dinoflagellate,pavlova
80,0.1175030022859573,0.2494770235272284,dinoflagellate,pavlova
90,0.1263830065727234,0.2758588405565793,dinoflagellate,pavlova
100,0.1431960016489029,0.3036970470744438,dinoflagellate,pavlova
0,0.0,0.0,dinoflagellate,s. zambalensis
2,-0.0001090000005206,-0.0069702362021502,dinoflagellate,s. zambalensis
4,-9.999999747378752e-06,-0.019471393041001,dinoflagellate,s. zambalensis
6,0.001585999969393,0.011916386823976,dinoflagellate,s. zambalensis
8,0.0048989998176693,0.0060296166448208,dinoflagellate,s. zambalensis
10,0.0071029998362064,0.0044742803949211,dinoflagellate,s. zambalensis
12,0.0094400001689791,0.0062566387642366,dinoflagellate,s. zambalensis
14,0.0074809999205172,0.0243562360872274,dinoflagellate,s. zambalensis
16,0.0100570004433393,0.0091963603898461,dinoflagellate,s. zambalensis
18,0.0104099996387958,0.0134016770141991,dinoflagellate,s. zambalensis
20,0.0122269997373223,0.015216396353415,dinoflagellate,s. zambalensis
