450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,rf,svc,xgb_f,xgb_d,regr_xgb_f
0.0302422773,0.0320205241,0.0284902789,0.0373613276,0.0283966754,0.0290490929,0.0315365568,0.0457880460,2,1,1,0,23.816591
0.0504512824,0.0480124578,0.0443094410,0.0515934229,0.0392197445,0.0372135304,0.0424841568,0.0633691326,2,2,2,0,60.404980
0.0066868435,0.0094255060,0.0099186003,0.0144307986,0.0091142571,0.0095880218,0.0120331291,0.0179926548,2,1,1,1,7.542843
0.0155536728,0.0193975065,0.0190720893,0.0236680359,0.0178162046,0.0170339886,0.0190040525,0.0285824053,2,1,1,0,19.181620
0.0285314452,0.0296730343,0.0266436152,0.0337591246,0.0266646203,0.0276544783,0.0290932301,0.0421668701,2,1,1,0,23.816591
0.0407135561,0.0425258689,0.0389017649,0.0485921688,0.0365837477,0.0372577086,0.0393234864,0.0607610978,2,2,1,0,33.692356
0.0053175264,0.0056527266,0.0048522018,0.0050813658,0.0038627540,0.0054399008,0.0044430620,0.0065158438,2,1,1,1,1.046602
0.0419558473,0.0419448093,0.0398194939,0.0478063636,0.0353334993,0.0332851447,0.0387002155,0.0604923368,2,2,1,0,33.881832
0.0222540330,0.0219065230,0.0203011632,0.0249396097,0.0210277829,0.0217430573,0.0221128576,0.0303987376,2,1,1,0,24.588131
0.0053887842,0.0024741697,0.0012522971,-0.0003121526,0.0024367773,0.0031904737,-0.0003707856,0.0006467761,2,2,2,2,-13.710756
0.1072110906,0.1027083024,0.0937188789,0.1138730049,0.0843849406,0.0811152235,0.0914087072,0.1436637789,2,2,1,2,73.187454
0.0207861606,0.0085978722,0.0089629954,0.0081622573,0.0072113140,0.0075373454,0.0053962027,0.0138098197,2,2,2,2,22.766741
0.0042315018,0.0029457030,0.0035298527,0.0029959087,0.0036307666,0.0019933258,0.0022273732,0.0044775191,2,2,1,2,-14.995396
0.0024190042,0.0019744940,0.0012031172,0.0019468035,0.0025336086,0.0009820724,0.0013726481,0.0028018251,2,2,2,2,-13.013283
0.0309319925,0.0277893394,0.0270192344,0.0334433615,0.0265994295,0.0272489693,0.0300233271,0.0395584255,2,1,1,0,23.592421
0.1229145154,0.1170515642,0.1052812040,0.1283299774,0.0938405022,0.0898527503,0.1028965712,0.1643136740,2,2,1,2,48.859505
0.0022049481,0.0016098188,0.0010965832,0.0017032477,0.0021101569,0.0008910284,0.0012792812,0.0025572316,2,2,2,2,-12.613089
-0.0055752299,-0.0058151851,-0.0048430921,-0.0037264726,-0.0051577282,-0.0050240080,-0.0041242605,-0.0039705294,2,2,1,1,-23.053150
0.0128734633,0.0094216065,0.0090299491,0.0085588321,0.0096216910,0.0093022231,0.0072481562,0.0123845479,2,1,1,1,5.489507
0.0123844473,0.0087056272,0.0084779477,0.0053733829,0.0058958791,0.0051356982,0.0046822117,0.0076863519,2,1,1,2,7.536088
0.0684238821,0.0702938661,0.0624270663,0.0825390741,0.0610667095,0.0626821145,0.0720234141,0.1023510322,2,2,1,0,72.784096
0.0405241251,0.0416028760,0.0380211212,0.0476493984,0.0352119058,0.0356354490,0.0381627716,0.0599553995,2,1,1,0,25.126291
0.0791850910,0.0775389224,0.0700230375,0.0913819969,0.0675390959,0.0693920702,0.0804787800,0.1130713150,2,2,1,2,72.818657
0.1298790276,0.1282147467,0.1149043292,0.1556080133,0.1121789441,0.1164541617,0.1358238310,0.1951722354,2,2,1,2,48.859505
0.0075581279,0.0076610129,0.0067111109,0.0090249926,0.0053074518,0.0052286950,0.0060969014,0.0124298492,2,1,1,1,13.929379
0.0422584228,0.0419240780,0.0397757441,0.0477017127,0.0349368639,0.0336962566,0.0388134606,0.0602685176,2,2,1,0,33.881832
0.0418693051,0.0400127582,0.0371303633,0.0480407141,0.0361202992,0.0372704677,0.0412836261,0.0577780530,2,1,1,0,33.692356
0.0401799530,0.0419655442,0.0389104933,0.0479895659,0.0366800949,0.0364633314,0.0392100886,0.0604027919,2,1,1,0,25.339344
