,450nm,475nm,515nm,550nm,555nm,600nm,640nm,690nm,percent
450,0.0221311195512454,0.0198434568228849,0.0187330560931483,0.0181314180053795,0.0177104510976521,0.0187381024247065,0.0177498582921522,0.0172879559543541,8.0
984,0.0129795016598439,0.0046739219849413,0.0044066676548267,0.0017923160570944,0.0034203147339204,0.0027258704056497,0.0010937548882215,0.0017021367192908,45.0
549,0.0790804274060403,0.0778715745362526,0.0697329378411619,0.0630315037790652,0.0636329144967364,0.0662645136936665,0.0678020874790389,0.0660163927158245,35.0
143,0.0319275475391689,0.0366022430719889,0.031764842071065,0.0304802471820199,0.0269820257619337,0.0282539146143487,0.0316808383158525,0.0314604272682293,45.0
404,0.0158062688618037,0.0196242244172425,0.0186803443106667,0.017381458750054,0.0149917332956399,0.0135067483561942,0.0162903606372162,0.0179187816270356,90.0
842,0.0035786245853819,-0.0028680270732751,-0.0026534930565871,-0.0022599923918048,-0.0028183798947961,-0.0020488857333008,-0.0030400879098648,-0.0031481064266124,2.0
832,0.1491049765279282,0.1427999660471295,0.129044287149802,0.1079696763815792,0.1077605606962413,0.1042003677105569,0.1048677527445597,0.1177148813847836,100.0
899,0.0067180946885456,0.0035818829690509,0.0025625863252519,0.0017423049546095,0.0038846668601163,0.0045510128910531,0.0006880589874402,0.00115256894454,12.0
146,0.032111551916982,0.036857500389953,0.0317128719191247,0.0301631719905459,0.0272912806082669,0.0289914212327509,0.0313142813358036,0.0312553310670357,45.0
451,0.0221311195512454,0.0197952286538171,0.0188081393091928,0.0181146677942928,0.0177568499972959,0.0188101127372794,0.0179309637003277,0.017455637472182,8.0
703,0.029339090437546,0.0337929678783472,0.0311446922322657,0.0276636695387527,0.026601296763054,0.0255270838245094,0.0270114687307225,0.0291270226203268,16.0
1043,0.04639484085883,0.0373200812271877,0.0346386885407956,0.0273732929561723,0.0293545448930986,0.0285903486393214,0.0273735291383636,0.0309716176618694,100.0
16,0.0174775503572534,0.0168562588352645,0.0150173692441541,0.0138649008737921,0.0164624166269599,0.0165687672046743,0.0141242520974103,0.0135195622701226,4.0
362,0.0122232977542017,0.0139514425021034,0.0123447374675937,0.0134610573229301,0.0117712729029643,0.011984046809538,0.0125223582212282,0.014593708677111,50.0
258,-0.0018292701261036,-0.0014269356465351,-0.0019799894394341,-0.000350226884378,-0.002000360350739,-0.0023977132961425,-0.0018304652165755,-0.0011304816299213,10.0
10,0.0171961116383328,0.0164236170945005,0.0149428062065493,0.0137988469685891,0.0162720059216027,0.0165608441741185,0.0142585671721274,0.0135431903135451,4.0
469,0.0253381740017757,0.0227694273728014,0.0214539272449755,0.0188527187062216,0.0200086484701159,0.0210496495610804,0.0201351839136602,0.0181757339661623,10.0
705,0.0290384640627753,0.0339447580666653,0.0308335866694923,0.0278915753700876,0.0265773140495771,0.0255270838245094,0.0273642499557669,0.028973972818235,16.0
998,0.0163228715375418,0.0075319995613455,0.0064532080733869,0.0039521142380399,0.0058941515477589,0.0053142446106694,0.0050197934390314,0.004083579061179,50.0
224,-0.0033776656456072,-0.0027532032701782,-0.0036200329828215,-0.0009424367145736,-0.0036208808341548,-0.0031851957750673,-0.0024864623173737,-0.0016757058944374,4.0
564,0.1128220408511148,0.1076199103226096,0.0971852318281578,0.0884407800116196,0.0899862561183035,0.0930631233259842,0.0945408337891696,0.0938100652125587,45.0
368,0.0125342100119391,0.0138926510240921,0.0126476362912614,0.013681047291032,0.0117300980714063,0.0121872417572022,0.0126942205604986,0.0145203899735364,50.0
804,0.107180218385982,0.1032434564672458,0.0939879284389556,0.0788322676123908,0.080541997436377,0.077516010669706,0.0774780788816886,0.0841441137199578,70.0
661,0.0178553157443875,0.0218679486484624,0.0205993390097935,0.0181019755603659,0.0181697812771193,0.0175638342404925,0.017222146300533,0.0183726888808021,8.0
735,0.0417226048522669,0.0425050993671712,0.0395901100229175,0.0329218983137944,0.0334541586803342,0.0315027450654876,0.0327278216219387,0.0348142064978717,25.0
8,0.0062496432606513,0.0079988310933744,0.007381395126473,0.0066353065618914,0.008213039737802,0.0085073557271627,0.0070314907385455,0.006086888690714,2.0
812,0.1233334398540099,0.116506793695946,0.1061859375894899,0.0882985391653973,0.089700494823918,0.086188338815874,0.0868005059453924,0.0957383597912939,80.0
377,0.0078005133442147,0.0078630226344839,0.0059650548291531,0.006601958047307,0.0047525441555118,0.0049598772083057,0.0052083243741787,0.0070501544993961,60.0
1003,0.0212362749938164,0.008852620576284,0.0084686486718723,0.0062660378472482,0.0067186950347045,0.0070799204372122,0.0045976151001128,0.0077174343515048,60.0
126,0.0331252011804182,0.0341312526478519,0.0300018669855078,0.0279371519519291,0.0292362151521135,0.0306275458638326,0.0303585099272273,0.0291387435354194,35.0
303,0.0067674329507893,0.0095512071533222,0.0091538994231237,0.0102839702850055,0.008463099563522,0.0089740573810942,0.009842006434619,0.0101896539271523,20.0
336,0.005351601635699,0.0115299796714289,0.0101643367982406,0.0122797434784761,0.0073865380515986,0.005957211658137,0.0097398062920306,0.0128893180353387,35.0
915,0.0053568111089516,0.0036590781353503,0.0037631344270406,0.0029285367471845,0.0035653597312824,0.0021195521346883,0.0026311119289046,0.0027092767205917,16.0
734,0.042197887935662,0.0416650194655835,0.0387599328534136,0.0323322738579753,0.0332219633174862,0.0310253554027781,0.0324048562742504,0.0349976153874161,25.0
895,0.005932748579166,0.0031865375252493,0.0012994784795112,0.0007607389747487,0.0032753287982981,0.0036052596319807,-9.930302492290946e-05,0.0005805771486227,12.0
631,0.0046679353928768,0.00559693342714,0.0042147123767625,0.0042871549184008,0.0037900516815264,0.0049948140341742,0.0030636627209296,0.0035813252123658,2.0
992,0.0153446235318484,0.0063430244938087,0.0057138289774017,0.0029955309986179,0.0045532357821289,0.003925574028828,0.0036298814880647,0.003335079259239,50.0
850,-0.0053116772012165,-0.0092050257974564,-0.0089787916349821,-0.0078915034888526,-0.0073493229534966,-0.0082428747709397,-0.0086001513772526,-0.0092397148828747,4.0
726,0.0404724800598471,0.0416443034583636,0.0368855293721474,0.0331903602637861,0.032977710620204,0.0338402370695297,0.0326081662523891,0.0346571213459088,20.0
788,0.0780098462000223,0.0807862982496725,0.0728737968807217,0.0622125358323078,0.0624118186942859,0.0613144459965205,0.0618055657705915,0.065527730892518,50.0
651,0.0153765911776825,0.019630154079599,0.0183446922672097,0.016369307937447,0.0163067385644259,0.0161399257917302,0.0162778988984319,0.0163416772039343,6.0
18,0.0176062787938501,0.0164140091958619,0.0151002343776571,0.0140301104454573,0.016341234397104,0.0170444703119834,0.0142585671721274,0.0136613688802628,4.0
270,0.0063807640344204,0.0105585282731532,0.009329070319236,0.011993676031536,0.0067421601036649,0.0072539060176343,0.0104900443805461,0.0126469155745476,14.0
118,0.0366990521240032,0.0390402406433155,0.0351845980730454,0.0320538213631618,0.032656565649959,0.0340222219390466,0.0329136999905889,0.0332374205258199,30.0
629,0.2205496304155652,0.2202389877400043,0.1949396881991068,0.185378162883478,0.1804397158434819,0.1885725675870216,0.1966080014710967,0.2066627538790543,100.0
184,0.0583174852689378,0.0620863515207006,0.0547763397290412,0.0516195694653261,0.0487367082808181,0.0502926260534499,0.0526158637122186,0.0541435723102173,80.0
353,0.0127307092148489,0.0143730845375441,0.0124877426721405,0.013477972899692,0.011248118580687,0.0120734383736848,0.0118701342997103,0.0143494086345958,45.0
36,0.0199958007079774,0.0199782224886842,0.0182961245137237,0.0166547114820423,0.0180531449348014,0.0189217281591426,0.0177143952276826,0.0164691041745434,8.0
339,0.00530342922758,0.0115299796714289,0.0099553464785476,0.0123302592604934,0.0075376421449284,0.005957211658137,0.0098874393551332,0.0127923247713409,35.0
137,0.0326389760765086,0.0367145322592289,0.0318341467623711,0.0292669249539986,0.0337151596903845,0.0291883466117931,0.0305588638573421,0.0305900951399216,40.0
479,0.0263445091904637,0.0245550023928125,0.0222024680593098,0.0201325811496287,0.0233278351001716,0.0244639044649008,0.0214491207726932,0.0192603490244,12.0
214,-0.0054972468653627,-0.0043340930252825,-0.0035071554881194,-0.0018839386841437,-0.0037729550987004,-0.0046076213786232,-0.0033481156064102,-0.0026265861563229,2.0
969,0.0121076225643082,0.0007189998815388,0.0012911825676401,-0.0012899939818364,0.0012632313435961,0.001466516624719,0.0002154058886864,-0.0013153173743613,35.0
268,0.0042612179877121,0.0092225484787502,0.0074149572342559,0.0105012383710727,0.0061857991367914,0.0067650929292262,0.0088781012329015,0.0110297206256122,12.0
542,0.0790328619250272,0.077607716436735,0.0697902491794952,0.0630914259345298,0.0638111009162563,0.0664655739527225,0.0680143588387976,0.0658667980545996,35.0
159,0.0409151297269143,0.0400080709544219,0.0339715144458382,0.0325864328404518,0.0330856730243347,0.0340971015818989,0.0344377155592815,0.0337552047816208,50.0
166,0.0458558022429611,0.0483710100364871,0.0422967978202117,0.0402719406905491,0.0386195016317444,0.0399357686205431,0.0414860605649629,0.041458043102909,60.0
955,0.0047498400084324,0.0003843598532457,-0.0001412673053987,-0.0017179051764479,-0.0001178267799911,-0.0015048342429046,-0.0012542868047362,-0.0016689730696202,30.0
170,0.0577345926646156,0.057361191416659,0.0503003472386376,0.0464450022237179,0.0478720342045343,0.0498923728309547,0.0491454307854605,0.0486085510102158,70.0
997,0.0161500530670483,0.0071612090177617,0.0064027497340064,0.0039016782939455,0.0055555311175767,0.0050087565745804,0.0047572917860378,0.003938507838194,50.0
347,0.0134110678314988,0.0154049178706765,0.013068733572084,0.0137657093187305,0.0119360198604439,0.0126183969650075,0.0121789143074643,0.0150586327876038,40.0
32,0.0212125745219303,0.0203960496461702,0.0185134961546395,0.0166046251576783,0.0180009720929587,0.01861879192461,0.0177143952276826,0.0165409597999652,8.0
874,0.0036979680744216,0.0038038671778458,0.0029790098154033,0.0038008362878212,0.0025223521505733,0.0020239115003118,0.0025064878830667,0.0032627797135683,8.0
746,0.0544865734042911,0.05547457893315,0.0517739985893245,0.0435509732904074,0.0439746903500567,0.0430168978676287,0.0428580032458081,0.0462662637959399,30.0
105,0.0302422808809827,0.0320205229832045,0.0278611226038201,0.0259900254330979,0.026578020442867,0.0276241408500234,0.0264826589685559,0.0264149802272595,25.0
758,0.0504512828464117,0.0480124559213834,0.0438312493161147,0.0357277981505863,0.0369060040000297,0.0354551056849216,0.035734058889481,0.0367080921008187,35.0
305,0.0066868438758968,0.0094255053527245,0.0091122040706622,0.0103006766516761,0.0081776391979367,0.0089579428666286,0.0100010503047132,0.010141747550809,20.0
657,0.0155536729640902,0.0193975066235017,0.0183530489125211,0.0166209077825717,0.0164815316602602,0.0160997845518856,0.0158919136806267,0.0163416772039343,6.0
72,0.028531446162899,0.0296730339204731,0.0259968331493212,0.0235253539408502,0.0249251925947634,0.0262864869549339,0.024417897257485,0.024294907482293,16.0
712,0.0407135573838863,0.0425258688342238,0.0383719670368618,0.0336743043297159,0.0343905857465732,0.0354974777593359,0.0330630984214422,0.0351811783928452,18.0
637,0.0053175265516918,0.0056527263253402,0.003997454855201,0.0039036800551855,0.0031663569662314,0.0049792493201566,0.0035869724202785,0.0034224749974247,2.0
